tmain,RadialPositions,ne,Ee,dne,dEe,nue,nH,EH,dnH,dEH,nuH,nH2,EH2,dnH2,dEH2,nuH2,nHi,EHi,dnHi,dEHi,nuHi,nH2i,EH2i,dnH2i,dEH2i,nuH2i,nH3i,EH3i,dnH3i,dEH3i,nuH3i,nHeI,EHeI,dnHeI,dEHeI,nuHeI,nHeII,EHeII,dnHeII,dEHeII,nuHeII,nHeIII,EHeIII,dnHeIII,dEHeIII,nuHeIII,nCI,xnCI,nCII,xnCII,nCIII,xnCIII,nCIV,xnCIV,nCV,xnCV,PRFe,PRFHi,PRFH2i,PRFH3i,PRFHeII,PRFHeIII,tnew
0.000000e+00,6.000000e+01,6.990008e+07,3.145504e+08,1.270084e-01,5.715378e-01,3.614726e+03,2.000000e+01,6.000000e+01,3.633998e-08,1.635299e-07,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,1.816999e-08,2.725499e-08,2.353985e+01,1.000000e+01,1.500000e+01,1.816999e-08,2.725499e-08,2.513411e+01,2.000000e+01,3.000000e+01,3.633998e-08,5.450998e-08,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,1.270082e-01,1.905124e-01,3.763462e+03,2.000000e+01,3.000000e+01,3.633998e-08,5.450998e-08,1.418320e-01,1.109956e+09,-1.816999e-05,1.000000e+04,1.816999e-05,1.000000e-04,1.816999e-13,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.018667e+01,6.990008e+07,3.145504e+08,1.842753e-01,8.292387e-01,3.614726e+03,2.000000e+01,6.000000e+01,5.272534e-08,2.372640e-07,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,2.636267e-08,3.954400e-08,2.353985e+01,1.000000e+01,1.500000e+01,2.636267e-08,3.954400e-08,2.513411e+01,2.000000e+01,3.000000e+01,5.272534e-08,7.908801e-08,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,1.842751e-01,2.764126e-01,3.763462e+03,2.000000e+01,3.000000e+01,5.272534e-08,7.908801e-08,1.418320e-01,1.109956e+09,-2.636267e-05,1.000000e+04,2.636267e-05,1.000000e-04,2.636267e-13,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.037333e+01,6.990008e+07,3.145504e+08,2.667605e-01,1.200422e+00,3.614726e+03,2.000000e+01,6.000000e+01,7.632624e-08,3.434681e-07,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,3.816312e-08,5.724468e-08,2.353985e+01,1.000000e+01,1.500000e+01,3.816312e-08,5.724468e-08,2.513411e+01,2.000000e+01,3.000000e+01,7.632624e-08,1.144894e-07,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,2.667602e-01,4.001403e-01,3.763462e+03,2.000000e+01,3.000000e+01,7.632624e-08,1.144894e-07,1.418320e-01,1.109956e+09,-3.816312e-05,1.000000e+04,3.816312e-05,1.000000e-04,3.816312e-13,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.056000e+01,6.990008e+07,3.145504e+08,3.852970e-01,1.733836e+00,3.614726e+03,2.000000e+01,6.000000e+01,1.102422e-07,4.960900e-07,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,5.512111e-08,8.268166e-08,2.353985e+01,1.000000e+01,1.500000e+01,5.512111e-08,8.268166e-08,2.513411e+01,2.000000e+01,3.000000e+01,1.102422e-07,1.653633e-07,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,3.852965e-01,5.779448e-01,3.763462e+03,2.000000e+01,3.000000e+01,1.102422e-07,1.653633e-07,1.418320e-01,1.109956e+09,-5.512111e-05,1.000000e+04,5.512111e-05,1.000000e-04,5.512111e-13,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.074667e+01,6.990008e+07,3.145504e+08,5.552507e-01,2.498628e+00,3.614726e+03,2.000000e+01,6.000000e+01,1.588698e-07,7.149142e-07,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,7.943492e-08,1.191524e-07,2.353985e+01,1.000000e+01,1.500000e+01,7.943492e-08,1.191524e-07,2.513411e+01,2.000000e+01,3.000000e+01,1.588698e-07,2.383047e-07,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,5.552501e-01,8.328751e-01,3.763462e+03,2.000000e+01,3.000000e+01,1.588698e-07,2.383047e-07,1.418320e-01,1.109956e+09,-7.943492e-05,1.000000e+04,7.943492e-05,1.000000e-04,7.943492e-13,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.093333e+01,6.990008e+07,3.145504e+08,7.983657e-01,3.592646e+00,3.614726e+03,2.000000e+01,6.000000e+01,2.284306e-07,1.027938e-06,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,1.142153e-07,1.713229e-07,2.353985e+01,1.000000e+01,1.500000e+01,1.142153e-07,1.713229e-07,2.513411e+01,2.000000e+01,3.000000e+01,2.284306e-07,3.426458e-07,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,7.983648e-01,1.197547e+00,3.763462e+03,2.000000e+01,3.000000e+01,2.284306e-07,3.426458e-07,1.418320e-01,1.109956e+09,-1.142153e-04,1.000000e+04,1.142153e-04,1.000000e-04,1.142153e-12,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.112000e+01,6.990008e+07,3.145504e+08,1.145338e+00,5.154022e+00,3.614726e+03,2.000000e+01,6.000000e+01,3.277073e-07,1.474683e-06,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,1.638536e-07,2.457804e-07,2.353985e+01,1.000000e+01,1.500000e+01,1.638536e-07,2.457804e-07,2.513411e+01,2.000000e+01,3.000000e+01,3.277073e-07,4.915609e-07,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,1.145337e+00,1.718005e+00,3.763462e+03,2.000000e+01,3.000000e+01,3.277073e-07,4.915609e-07,1.418320e-01,1.109956e+09,-1.638536e-04,1.000000e+04,1.638536e-04,1.000000e-04,1.638536e-12,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.130667e+01,6.990008e+07,3.145504e+08,1.639398e+00,7.377292e+00,3.614726e+03,2.000000e+01,6.000000e+01,4.690690e-07,2.110811e-06,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,2.345345e-07,3.518018e-07,2.353985e+01,1.000000e+01,1.500000e+01,2.345345e-07,3.518018e-07,2.513411e+01,2.000000e+01,3.000000e+01,4.690690e-07,7.036036e-07,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,1.639396e+00,2.459094e+00,3.763462e+03,2.000000e+01,3.000000e+01,4.690690e-07,7.036036e-07,1.418320e-01,1.109956e+09,-2.345345e-04,1.000000e+04,2.345345e-04,1.000000e-04,2.345345e-12,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.149333e+01,6.990008e+07,3.145504e+08,2.341283e+00,1.053577e+01,3.614726e+03,2.000000e+01,6.000000e+01,6.698941e-07,3.014524e-06,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,3.349471e-07,5.024206e-07,2.353985e+01,1.000000e+01,1.500000e+01,3.349471e-07,5.024206e-07,2.513411e+01,2.000000e+01,3.000000e+01,6.698941e-07,1.004841e-06,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,2.341280e+00,3.511920e+00,3.763462e+03,2.000000e+01,3.000000e+01,6.698941e-07,1.004841e-06,1.418320e-01,1.109956e+09,-3.349471e-04,1.000000e+04,3.349471e-04,1.000000e-04,3.349471e-12,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
0.000000e+00,6.168000e+01,6.990008e+07,3.145504e+08,3.336120e+00,1.501254e+01,3.614726e+03,2.000000e+01,6.000000e+01,9.545398e-07,4.295429e-06,7.342560e+03,2.630709e+10,1.020846e+09,0.000000e+00,0.000000e+00,4.794074e+02,1.000000e+01,1.500000e+01,4.772699e-07,7.159049e-07,2.353985e+01,1.000000e+01,1.500000e+01,4.772699e-07,7.159049e-07,2.513411e+01,2.000000e+01,3.000000e+01,9.545398e-07,1.431810e-06,2.442406e+01,1.083659e+12,4.205138e+10,0.000000e+00,0.000000e+00,1.554643e+01,6.990000e+07,1.048500e+08,3.336117e+00,5.004175e+00,3.763462e+03,2.000000e+01,3.000000e+01,9.545398e-07,1.431810e-06,1.418320e-01,1.109956e+09,-4.772699e-04,1.000000e+04,4.772699e-04,1.000000e-04,4.772699e-12,1.000000e-04,0.000000e+00,1.000000e-04,0.000000e+00,1.497922e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-11
